,sal,rooz,Month,zarrineh_Debi
4528,1370,3,6,6.08
4529,1370,4,6,6.08
4530,1370,5,6,5.24
4531,1370,6,6,6.08
4532,1370,7,6,6.36
4533,1370,8,6,7.53
4534,1370,9,6,6.92
4535,1370,10,6,7.2
4536,1370,11,6,7.2
4537,1370,12,6,7.2
4538,1370,13,6,6.92
4539,1370,14,6,6.64
4540,1370,15,6,6.92
4541,1370,16,6,7.53
4542,1370,17,6,6.64
4543,1370,18,6,6.64
4544,1370,19,6,6.92
4545,1370,20,6,8.19
4546,1370,21,6,7.2
4547,1370,22,6,7.53
4548,1370,23,6,8.19
4549,1370,24,6,7.2
4550,1370,25,6,7.2
4551,1370,26,6,7.2
4552,1370,27,6,7.2
4553,1370,28,6,7.2
4554,1370,29,6,7.2
4555,1370,30,6,8.19
4556,1370,31,6,7.53
5425,1370,1,7,7.67
5426,1370,2,7,7.62
5427,1370,3,7,7.58
5428,1370,4,7,7.53
5429,1370,5,7,7.48
5430,1370,6,7,7.44
5431,1370,7,7,7.39
5432,1370,8,7,7.34
5433,1370,9,7,7.29
5434,1370,10,7,7.25
5435,1370,11,7,7.2
5436,1370,12,7,7.15
5437,1370,13,7,7.1
5438,1370,14,7,7.06
5439,1370,15,7,7.01
5440,1370,16,7,6.96
5441,1370,17,7,6.92
5442,1370,18,7,6.87
5443,1370,19,7,6.82
5444,1370,20,7,6.77
5445,1370,21,7,6.73
5446,1370,22,7,6.68
5447,1370,23,7,6.63
5448,1370,24,7,6.58
5449,1370,25,7,6.54
5450,1370,26,7,6.49
5451,1370,27,7,6.44
5452,1370,28,7,6.39
5453,1370,29,7,7.78
5454,1370,30,7,9.16
5455,1370,31,7,
6324,1370,1,8,9.16
6325,1370,2,8,9.62
6326,1370,3,8,9.16
6327,1370,4,8,8.7
6328,1370,5,8,6.86
6329,1370,6,8,7.32
6330,1370,7,8,6.4
6331,1370,8,8,6.08
6332,1370,9,8,5.44
6333,1370,10,8,5.44
6334,1370,11,8,5.12
6335,1370,12,8,5.12
6336,1370,13,8,6.4
6337,1370,14,8,7.32
6338,1370,15,8,6.86
6339,1370,16,8,8.7
6340,1370,17,8,8.7
6341,1370,18,8,8.7
6342,1370,19,8,9.16
6343,1370,20,8,9.62
6344,1370,21,8,12.65
6345,1370,22,8,13.75
6346,1370,23,8,14.85
6347,1370,24,8,14.85
6348,1370,25,8,14.85
6349,1370,26,8,14.85
6350,1370,27,8,14.3
6351,1370,28,8,16.5
6352,1370,29,8,16.5
6353,1370,30,8,16.5
6354,1370,31,8,
7223,1370,1,9,16.5
7224,1370,2,9,16.5
7225,1370,3,9,16.5
7226,1370,4,9,15.95
7227,1370,5,9,16.5
7228,1370,6,9,16.5
7229,1370,7,9,16.5
7230,1370,8,9,15.4
7231,1370,9,9,18.9
7232,1370,10,9,16.5
7233,1370,11,9,16.5
7234,1370,12,9,17.1
7235,1370,13,9,17.7
7236,1370,14,9,20.7
7237,1370,15,9,19.5
7238,1370,16,9,17.1
7239,1370,17,9,17.1
7240,1370,18,9,29.74
7241,1370,19,9,123.47
7242,1370,20,9,67.2
7243,1370,21,9,45.2
7244,1370,22,9,38.8
7245,1370,23,9,32.4
7246,1370,24,9,32.4
7247,1370,25,9,28.5
7248,1370,26,9,24.0
7249,1370,27,9,22.5
7250,1370,28,9,20.7
7251,1370,29,9,21.9
7252,1370,30,9,23.25
7253,1370,31,9,
8122,1370,1,10,22.5
8123,1370,2,10,21.3
8124,1370,3,10,22.5
8125,1370,4,10,23.25
8126,1370,5,10,25.5
8127,1370,6,10,25.5
8128,1370,7,10,24.0
8129,1370,8,10,24.0
8130,1370,9,10,26.25
8131,1370,10,10,24.0
8132,1370,11,10,24.0
8133,1370,12,10,27.0
8134,1370,13,10,22.5
8135,1370,14,10,21.9
8136,1370,15,10,22.5
8137,1370,16,10,23.25
8138,1370,17,10,24.75
8139,1370,18,10,30.0
8140,1370,19,10,22.5
8141,1370,20,10,21.3
8142,1370,21,10,30.0
8143,1370,22,10,34.8
8144,1370,23,10,27.75
8145,1370,24,10,27.75
8146,1370,25,10,28.5
8147,1370,26,10,29.25
8148,1370,27,10,38.8
8149,1370,28,10,46.0
8150,1370,29,10,38.0
8151,1370,30,10,37.2
8152,1370,31,10,
9021,1370,1,11,38.0
9022,1370,2,11,38.8
9023,1370,3,11,37.2
9024,1370,4,11,37.2
9025,1370,5,11,34.8
9026,1370,6,11,39.6
9027,1370,7,11,37.2
9028,1370,8,11,38.0
9029,1370,9,11,38.0
9030,1370,10,11,34.0
9031,1370,11,11,33.2
9032,1370,12,11,33.2
9033,1370,13,11,31.6
9034,1370,14,11,33.2
9035,1370,15,11,31.6
9036,1370,16,11,31.6
9037,1370,17,11,30.8
9038,1370,18,11,30.8
9039,1370,19,11,31.6
9040,1370,20,11,30.0
9041,1370,21,11,29.25
9042,1370,22,11,30.0
9043,1370,23,11,30.0
9044,1370,24,11,28.5
9045,1370,25,11,30.0
9046,1370,26,11,30.0
9047,1370,27,11,29.25
9048,1370,28,11,27.75
9049,1370,29,11,30.0
9050,1370,30,11,34.0
9051,1370,31,11,
9920,1370,1,12,34.8
9921,1370,2,12,38.0
9922,1370,3,12,35.6
9923,1370,4,12,35.6
9924,1370,5,12,44.4
9925,1370,6,12,53.2
9926,1370,7,12,46.0
9927,1370,8,12,51.4
9928,1370,9,12,45.2
9929,1370,10,12,46.0
9930,1370,11,12,41.2
9931,1370,12,12,43.6
9932,1370,13,12,46.9
9933,1370,14,12,47.8
9934,1370,15,12,48.7
9935,1370,16,12,51.4
9936,1370,17,12,52.3
9937,1370,18,12,51.4
9938,1370,19,12,50.5
9939,1370,20,12,51.4
9940,1370,21,12,53.2
9941,1370,22,12,55.0
9942,1370,23,12,56.1
9943,1370,24,12,57.2
9944,1370,25,12,60.5
9945,1370,26,12,68.4
9946,1370,27,12,69.6
9947,1370,28,12,73.2
9948,1370,29,12,76.8
9949,1370,30,12,79.2
9950,1370,31,12,
62,1371,1,1,83.2
63,1371,2,1,82.0
64,1371,3,1,82.0
65,1371,4,1,80.8
66,1371,5,1,79.6
67,1371,6,1,80.8
68,1371,7,1,83.2
69,1371,8,1,86.8
70,1371,9,1,94.0
71,1371,10,1,107.0
