,sal,rooz,Month,nazloo_Debi
8368,1330,30,5,2.4
8369,1330,31,5,2.4
10416,1330,1,6,2.4
10417,1330,2,6,2.5
10418,1330,3,6,2.4
10419,1330,4,6,2.4
10420,1330,5,6,2.4
10421,1330,6,6,2.4
10422,1330,7,6,2.4
10423,1330,8,6,2.5
10424,1330,9,6,2.5
10425,1330,10,6,2.5
10426,1330,11,6,2.6
10427,1330,12,6,2.6
10428,1330,13,6,2.7
10429,1330,14,6,3.0
10430,1330,15,6,3.2
10431,1330,16,6,3.2
10432,1330,17,6,3.1
10433,1330,18,6,3.1
10434,1330,19,6,2.8
10435,1330,20,6,3.0
10436,1330,21,6,3.1
10437,1330,22,6,3.1
10438,1330,23,6,3.2
10439,1330,24,6,3.2
10440,1330,25,6,3.2
10441,1330,26,6,3.1
10442,1330,27,6,3.1
10443,1330,28,6,3.2
10444,1330,29,6,3.1
10445,1330,30,6,3.2
10446,1330,31,6,3.2
12493,1330,1,7,1.1
12494,1330,2,7,1.0
12495,1330,3,7,0.9
12496,1330,4,7,0.8
12497,1330,5,7,0.7
12498,1330,6,7,0.7
12499,1330,7,7,0.7
12500,1330,8,7,0.7
12501,1330,9,7,0.7
12502,1330,10,7,0.8
12503,1330,11,7,0.7
12504,1330,12,7,0.7
12505,1330,13,7,0.7
12506,1330,14,7,0.8
12507,1330,15,7,1.1
12508,1330,16,7,1.2
12509,1330,17,7,2.2
12510,1330,18,7,3.0
12511,1330,19,7,2.8
12512,1330,20,7,2.4
12513,1330,21,7,2.9
12514,1330,22,7,3.1
12515,1330,23,7,3.0
12516,1330,24,7,2.8
12517,1330,25,7,2.5
12518,1330,26,7,2.4
12519,1330,27,7,2.3
12520,1330,28,7,2.2
12521,1330,29,7,2.2
12522,1330,30,7,2.0
12523,1330,31,7,
14570,1330,1,8,2.2
14571,1330,2,8,2.4
14572,1330,3,8,2.6
14573,1330,4,8,2.8
14574,1330,5,8,2.9
14575,1330,6,8,3.0
14576,1330,7,8,3.2
14577,1330,8,8,3.3
14578,1330,9,8,3.0
14579,1330,10,8,3.0
14580,1330,11,8,2.7
14581,1330,12,8,2.7
14582,1330,13,8,2.7
14583,1330,14,8,2.8
14584,1330,15,8,2.8
14585,1330,16,8,3.7
14586,1330,17,8,3.2
14587,1330,18,8,2.9
14588,1330,19,8,2.8
14589,1330,20,8,2.6
14590,1330,21,8,2.3
14591,1330,22,8,2.0
14592,1330,23,8,2.0
14593,1330,24,8,2.2
14594,1330,25,8,2.7
14595,1330,26,8,2.8
14596,1330,27,8,2.5
14597,1330,28,8,2.3
14598,1330,29,8,2.1
14599,1330,30,8,2.6
14600,1330,31,8,
16647,1330,1,9,2.9
16648,1330,2,9,2.9
16649,1330,3,9,2.8
