,sal,rooz,Month,zola_Debi
13965,1353,16,11,2.15
13966,1353,17,11,2.15
13967,1353,18,11,2.15
13968,1353,19,11,2.15
13969,1353,20,11,2.28
13970,1353,21,11,2.15
13971,1353,22,11,2.28
13972,1353,23,11,2.15
13973,1353,24,11,2.41
13974,1353,25,11,2.41
13975,1353,26,11,2.54
13976,1353,27,11,2.41
13977,1353,28,11,2.54
13978,1353,29,11,2.54
13979,1353,30,11,2.54
13980,1353,31,11,
15345,1353,1,12,2.67
15346,1353,2,12,2.67
15347,1353,3,12,2.8
15348,1353,4,12,2.8
15349,1353,5,12,2.15
15350,1353,6,12,2.67
15351,1353,7,12,2.8
15352,1353,8,12,2.67
15353,1353,9,12,2.54
15354,1353,10,12,2.56
15355,1353,11,12,2.67
15356,1353,12,12,2.41
15357,1353,13,12,2.41
15358,1353,14,12,2.54
15359,1353,15,12,2.54
15360,1353,16,12,2.41
15361,1353,17,12,2.41
15362,1353,18,12,2.41
15363,1353,19,12,2.41
15364,1353,20,12,2.41
15365,1353,21,12,2.41
15366,1353,22,12,2.41
15367,1353,23,12,2.28
15368,1353,24,12,2.28
15369,1353,25,12,2.41
15370,1353,26,12,2.28
15371,1353,27,12,2.28
15372,1353,28,12,2.28
15373,1353,29,12,2.28
15374,1353,30,12,
15375,1353,31,12,
31,1354,1,1,4.29
32,1354,2,1,4.44
33,1354,3,1,4.76
34,1354,4,1,4.6
35,1354,5,1,4.6
36,1354,6,1,4.44
37,1354,7,1,3.97
38,1354,8,1,4.44
39,1354,9,1,4.76
40,1354,10,1,4.76
41,1354,11,1,4.44
42,1354,12,1,5.85
43,1354,13,1,6.4
44,1354,14,1,2.22
45,1354,15,1,5.85
46,1354,16,1,6.58
47,1354,17,1,8.05
48,1354,18,1,8.05
49,1354,19,1,8.05
50,1354,20,1,8.05
51,1354,21,1,8.05
52,1354,22,1,8.26
53,1354,23,1,8.91
54,1354,24,1,9.81
55,1354,25,1,11.18
56,1354,26,1,50.27
57,1354,27,1,9.36
58,1354,28,1,13.47
59,1354,29,1,15.08
60,1354,30,1,11.18
61,1354,31,1,10.04
1426,1354,1,2,8.91
1427,1354,2,2,8.68
1428,1354,3,2,8.05
1429,1354,4,2,7.42
1430,1354,5,2,8.26
1431,1354,6,2,8.05
1432,1354,7,2,8.26
1433,1354,8,2,9.36
1434,1354,9,2,9.13
1435,1354,10,2,9.13
1436,1354,11,2,7.84
1437,1354,12,2,8.26
1438,1354,13,2,8.05
1439,1354,14,2,7.63
1440,1354,15,2,7.21
1441,1354,16,2,6.79
1442,1354,17,2,7.63
1443,1354,18,2,7.21
1444,1354,19,2,7.0
1445,1354,20,2,7.0
1446,1354,21,2,7.21
1447,1354,22,2,6.79
1448,1354,23,2,8.26
1449,1354,24,2,7.42
1450,1354,25,2,7.0
1451,1354,26,2,9.81
1452,1354,27,2,11.64
1453,1354,28,2,14.93
1454,1354,29,2,13.42
1455,1354,30,2,13.65
1456,1354,31,2,16.48
2821,1354,1,3,15.51
2822,1354,2,3,14.81
2823,1354,3,3,12.03
2824,1354,4,3,11.58
2825,1354,5,3,10.66
2826,1354,6,3,9.29
2827,1354,7,3,10.88
2828,1354,8,3,9.06
2829,1354,9,3,9.06
