,sal,rooz,Month,chehrig_olia_EV
15829,1363,20,11,
15830,1363,21,11,
15831,1363,22,11,
15832,1363,23,11,
15833,1363,24,11,
15834,1363,25,11,
15835,1363,26,11,
15836,1363,27,11,
15837,1363,28,11,
15838,1363,29,11,
15839,1363,30,11,
15840,1363,31,11,
17391,1363,1,12,
17392,1363,2,12,
17393,1363,3,12,
17394,1363,4,12,
17395,1363,5,12,
17396,1363,6,12,
17397,1363,7,12,
17398,1363,8,12,
17399,1363,9,12,
17400,1363,10,12,
17401,1363,11,12,
17402,1363,12,12,
17403,1363,13,12,
17404,1363,14,12,
17405,1363,15,12,
17406,1363,16,12,
17407,1363,17,12,
17408,1363,18,12,
17409,1363,19,12,
17410,1363,20,12,
17411,1363,21,12,
17412,1363,22,12,
17413,1363,23,12,
17414,1363,24,12,
17415,1363,25,12,
17416,1363,26,12,
17417,1363,27,12,
17418,1363,28,12,
17419,1363,29,12,
17420,1363,30,12,
17421,1363,31,12,
31,1364,1,1,
32,1364,2,1,
33,1364,3,1,
34,1364,4,1,
35,1364,5,1,
36,1364,6,1,
37,1364,7,1,
38,1364,8,1,
39,1364,9,1,
40,1364,10,1,
41,1364,11,1,
42,1364,12,1,
43,1364,13,1,
44,1364,14,1,
45,1364,15,1,
46,1364,16,1,
47,1364,17,1,
48,1364,18,1,
49,1364,19,1,
50,1364,20,1,
51,1364,21,1,
52,1364,22,1,
53,1364,23,1,
54,1364,24,1,1.1
55,1364,25,1,3.4
56,1364,26,1,3.1
57,1364,27,1,3.4
58,1364,28,1,3.4
59,1364,29,1,4.5
60,1364,30,1,2.4
61,1364,31,1,3.4
1612,1364,1,2,3.4
1613,1364,2,2,3.1
1614,1364,3,2,4.4
1615,1364,4,2,5.7
1616,1364,5,2,3.4
1617,1364,6,2,2.1
1618,1364,7,2,1.6
1619,1364,8,2,0.6
1620,1364,9,2,3.6
1621,1364,10,2,1.2
1622,1364,11,2,4.5
1623,1364,12,2,3.4
1624,1364,13,2,5.7
1625,1364,14,2,2.7
1626,1364,15,2,2.0
1627,1364,16,2,2.3
1628,1364,17,2,3.4
1629,1364,18,2,4.8
1630,1364,19,2,1.1
1631,1364,20,2,3.4
1632,1364,21,2,6.8
1633,1364,22,2,6.8
1634,1364,23,2,0.5
1635,1364,24,2,6.8
1636,1364,25,2,2.1
1637,1364,26,2,4.5
1638,1364,27,2,3.9
1639,1364,28,2,5.7
1640,1364,29,2,5.7
1641,1364,30,2,6.8
1642,1364,31,2,4.1
3193,1364,1,3,2.7
3194,1364,2,3,6.8
3195,1364,3,3,5.7
3196,1364,4,3,5.7
3197,1364,5,3,5.7
3198,1364,6,3,5.7
3199,1364,7,3,5.7
3200,1364,8,3,5.5
3201,1364,9,3,6.8
3202,1364,10,3,8.0
3203,1364,11,3,7.1
3204,1364,12,3,8.0
3205,1364,13,3,8.0
3206,1364,14,3,8.0
3207,1364,15,3,6.5
3208,1364,16,3,8.0
3209,1364,17,3,7.7
3210,1364,18,3,8.0
3211,1364,19,3,8.0
3212,1364,20,3,5.5
3213,1364,21,3,6.6
3214,1364,22,3,10.2
3215,1364,23,3,8.0
3216,1364,24,3,4.2
3217,1364,25,3,6.8
3218,1364,26,3,7.5
3219,1364,27,3,6.1
3220,1364,28,3,5.9
3221,1364,29,3,3.9
3222,1364,30,3,1.2
3223,1364,31,3,4.3
4774,1364,1,4,5.7
4775,1364,2,4,5.7
4776,1364,3,4,5.7
4777,1364,4,4,9.1
4778,1364,5,4,8.0
4779,1364,6,4,8.0
4780,1364,7,4,9.1
4781,1364,8,4,9.1
4782,1364,9,4,10.2
4783,1364,10,4,10.2
4784,1364,11,4,8.0
4785,1364,12,4,8.0
4786,1364,13,4,9.1
4787,1364,14,4,9.1
4788,1364,15,4,11.4
4789,1364,16,4,10.2
4790,1364,17,4,11.4
4791,1364,18,4,11.4
4792,1364,19,4,10.2
4793,1364,20,4,10.2
4794,1364,21,4,10.2
4795,1364,22,4,10.2
4796,1364,23,4,10.2
4797,1364,24,4,9.1
4798,1364,25,4,10.2
4799,1364,26,4,8.0
4800,1364,27,4,8.0
4801,1364,28,4,8.0
4802,1364,29,4,6.8
4803,1364,30,4,8.0
4804,1364,31,4,6.8
6355,1364,1,5,8.0
6356,1364,2,5,8.3
6357,1364,3,5,16.8
6358,1364,4,5,6.8
6359,1364,5,5,6.8
6360,1364,6,5,6.8
6361,1364,7,5,12.5
6362,1364,8,5,11.4
6363,1364,9,5,10.2
6364,1364,10,5,10.2
6365,1364,11,5,9.1
6366,1364,12,5,11.4
6367,1364,13,5,9.1
6368,1364,14,5,10.2
6369,1364,15,5,10.2
6370,1364,16,5,10.2
6371,1364,17,5,11.4
6372,1364,18,5,11.4
6373,1364,19,5,10.2
6374,1364,20,5,9.1
6375,1364,21,5,9.1
6376,1364,22,5,9.1
6377,1364,23,5,9.1
6378,1364,24,5,10.2
6379,1364,25,5,9.1
6380,1364,26,5,9.1
6381,1364,27,5,11.4
6382,1364,28,5,11.4
6383,1364,29,5,10.2
6384,1364,30,5,10.2
6385,1364,31,5,10.2
7936,1364,1,6,9.1
7937,1364,2,6,10.2
7938,1364,3,6,10.2
7939,1364,4,6,8.0
7940,1364,5,6,8.0
7941,1364,6,6,6.8
7942,1364,7,6,9.1
7943,1364,8,6,8.0
7944,1364,9,6,8.0
7945,1364,10,6,7.3
7946,1364,11,6,8.5
7947,1364,12,6,8.5
7948,1364,13,6,8.5
7949,1364,14,6,8.5
