,sal,rooz,Month,golman_abShirin_EV
6696,1369,1,6,
6697,1369,2,6,
6698,1369,3,6,
6699,1369,4,6,
6700,1369,5,6,
6701,1369,6,6,
6702,1369,7,6,
6703,1369,8,6,
6704,1369,9,6,
6705,1369,10,6,
6706,1369,11,6,
6707,1369,12,6,
6708,1369,13,6,
6709,1369,14,6,
6710,1369,15,6,
6711,1369,16,6,
6712,1369,17,6,
6713,1369,18,6,
6714,1369,19,6,
6715,1369,20,6,
6716,1369,21,6,
6717,1369,22,6,
6718,1369,23,6,
6719,1369,24,6,
6720,1369,25,6,
6721,1369,26,6,
6722,1369,27,6,
6723,1369,28,6,
6724,1369,29,6,
6725,1369,30,6,
6726,1369,31,6,
8029,1369,1,7,4.4
8030,1369,2,7,7.4
8031,1369,3,7,7.0
8032,1369,4,7,6.1
8033,1369,5,7,8.3
8034,1369,6,7,5.8
8035,1369,7,7,6.6
8036,1369,8,7,11.5
8037,1369,9,7,8.3
8038,1369,10,7,7.2
8039,1369,11,7,5.8
8040,1369,12,7,6.9
8041,1369,13,7,6.1
8042,1369,14,7,5.4
8043,1369,15,7,4.8
8044,1369,16,7,6.6
8045,1369,17,7,5.0
8046,1369,18,7,4.8
8047,1369,19,7,5.7
8048,1369,20,7,4.5
8049,1369,21,7,5.2
8050,1369,22,7,4.2
8051,1369,23,7,0.4
8052,1369,24,7,4.2
8053,1369,25,7,1.7
8054,1369,26,7,2.8
8055,1369,27,7,1.7
8056,1369,28,7,2.4
8057,1369,29,7,1.9
8058,1369,30,7,2.6
8059,1369,31,7,
9362,1369,1,8,1.5
9363,1369,2,8,0.4
9364,1369,3,8,0.2
9365,1369,4,8,1.5
9366,1369,5,8,2.2
9367,1369,6,8,0.6
9368,1369,7,8,1.7
9369,1369,8,8,2.0
9370,1369,9,8,3.2
9371,1369,10,8,3.4
9372,1369,11,8,2.2
9373,1369,12,8,2.0
9374,1369,13,8,2.0
9375,1369,14,8,2.0
9376,1369,15,8,3.8
9377,1369,16,8,1.1
9378,1369,17,8,3.5
9379,1369,18,8,4.4
9380,1369,19,8,2.7
9381,1369,20,8,2.0
9382,1369,21,8,1.7
9383,1369,22,8,1.5
9384,1369,23,8,1.0
9385,1369,24,8,0.9
9386,1369,25,8,0.9
9387,1369,26,8,0.8
9388,1369,27,8,1.1
9389,1369,28,8,0.9
9390,1369,29,8,1.2
9391,1369,30,8,0.3
9392,1369,31,8,
10695,1369,1,9,0.2
10696,1369,2,9,0.9
10697,1369,3,9,0.9
10698,1369,4,9,0.9
10699,1369,5,9,0.2
10700,1369,6,9,0.9
10701,1369,7,9,0.1
10702,1369,8,9,0.9
10703,1369,9,9,0.1
10704,1369,10,9,0.9
10705,1369,11,9,0.1
10706,1369,12,9,0.6
10707,1369,13,9,0.1
10708,1369,14,9,0.7
10709,1369,15,9,0.8
10710,1369,16,9,0.4
10711,1369,17,9,0.2
10712,1369,18,9,0.6
10713,1369,19,9,0.6
